Codigo,Departamento,Municipio
101,Guatemala,Guatemala
102,Guatemala,Santa Catarina Pinula
103,Guatemala,San José Pinula
104,Guatemala,San José del Golfo
105,Guatemala,Palencia
106,Guatemala,Chinautla
107,Guatemala,San Pedro Ayampuc
108,Guatemala,Mixco
109,Guatemala,San Pedro Sacatepéquez
110,Guatemala,San Juan Sacatépequez
111,Guatemala,San Raymundo
112,Guatemala,Chuarrancho
113,Guatemala,Fraijanes
114,Guatemala,Amatitlán
115,Guatemala,Villa Nueva
116,Guatemala,Villa Canales
117,Guatemala,Petapa
201,El Progreso,Guastatoya
202,El Progreso,Morazán
203,El Progreso,San Agustín Acasaguastlán
204,El Progreso,San Cristóbal Acasaguastlán
205,El Progreso,El Jícaro
206,El Progreso,Sansare
207,El Progreso,Sanarate
208,El Progreso,San Antonio La Paz
301,Sacatepéquez,Antigua Guatemala
302,Sacatepéquez,Jocotenango
303,Sacatepéquez,Pastores
304,Sacatepéquez,Sumpango
305,Sacatepéquez,Sto. Domingo Xenacoj
306,Sacatepéquez,Santiago Sacatepéquez
307,Sacatepéquez,San Bartolomé Millpas Altas
308,Sacatepéquez,San Lucas Sacatepéquez
309,Sacatepéquez,Santa Lucia Milpas Altas
310,Sacatepéquez,Magdalena Milpas Altas
311,Sacatepéquez,Santa María de Jesús
312,Sacatepéquez,Ciudad Vieja
313,Sacatepéquez,San Miguel Dueñas
314,Sacatepéquez,Alotenango
315,Sacatepéquez,San Antonio Aguas Calientes
316,Sacatepéquez,Santa Catarina Barahona
401,Chimaltenango,Chimaltenango
402,Chimaltenango,San José Poaquil
403,Chimaltenango,San Martín Jilotepeque
404,Chimaltenango,Comalapa
405,Chimaltenango,Santa Apolonia
406,Chimaltenango,Tecpán Guatemala
407,Chimaltenango,Patzún
408,Chimaltenango,Pochuta
409,Chimaltenango,Patzicia
410,Chimaltenango,Santa Cruz Balanyá
411,Chimaltenango,Acatenango
412,Chimaltenango,Yepocapa
413,Chimaltenango,San Andrés Iztapa
414,Chimaltenango,Parramos
415,Chimaltenango,Zaragoza
416,Chimaltenango,El Tejar
501,Escuintla,Escuintla
502,Escuintla,Santa Lucía Cotzumalguapa
503,Escuintla,La Democracia
504,Escuintla,Siquinalá
505,Escuintla,Masagua
506,Escuintla,Tiquisate
507,Escuintla,La Gomera
508,Escuintla,Guanagazapa
509,Escuintla,San José
510,Escuintla,Iztapa
511,Escuintla,Palín
512,Escuintla,San Vicente Pacaya
513,Escuintla,Nueva Concepción
601,Santa Rosa,Cuilapa
602,Santa Rosa,Barberena
603,Santa Rosa,Santa Rosa de Lima
604,Santa Rosa,Casillas
605,Santa Rosa,San Rafael Las Flores
606,Santa Rosa,Oratorio
607,Santa Rosa,San Juan Tecuaco
608,Santa Rosa,Chiquimulilla
609,Santa Rosa,Taxisco
610,Santa Rosa,Santa María Ixhuatán
611,Santa Rosa,Guazacapán
612,Santa Rosa,Santa Cruz Naranjo
613,Santa Rosa,Pueblo Nuevo Viñas
614,Santa Rosa,Nueva Santa Rosa
701,Sololá,Sololá
702,Sololá,San José Chacayá
703,Sololá,Santa María Visitación
704,Sololá,Santa Lucía Utatlán
705,Sololá,Nahualá
706,Sololá,Santa Catarina Ixtahuacán
707,Sololá,Santa Clara La Laguna
708,Sololá,Concepción
709,Sololá,San Andrés Semetabaj
710,Sololá,Panajachel
711,Sololá,Santa Catarina Palopó
712,Sololá,San Antonio Palopó
713,Sololá,San Lucas Tolimán
714,Sololá,Santa Cruz La Laguna
715,Sololá,San Pablo La Laguna
716,Sololá,San Marcos La Laguna
